
caucafall/video/backwards/FallBackwardsS6,8,0.0,2.22,6,1
caucafall/video/side/FallLeftS1,1,0.91,2.99,1,1
caucafall/video/side/FallLeftS10,2,3.35,10.59,10,1
cmdfall/video/colors/S44P5K1,9,128.9,131.15,5,1
cmdfall/video/colors/S41P29K1,6,423.653,425.2,29,1
cmdfall/video/colors/S54P24K5,4,24.92,26.16,24,5
edf/video/peter/view1/rgb/peter_view1_rgb,2,104.11,105.64691,3,1
edf/video/zhong/view2/rgb/zhong_view2_rgb,4,184.677,187.32469,5,2
edf/video/peter/view2/rgb/peter_view2_rgb,2,94.61,96.14691,3,2
GMDCSA24/video/Subject_3/Fall/17,4,0.0,1.4,3,1
GMDCSA24/video/Subject_4/ADL/01,4,0.0,12.0,4,1
GMDCSA24/video/Subject_1/Fall/13,1,0.0,1.92,1,1
le2i/video/Lecture_room/video_14,2,14.528,17.10764,0,5
le2i/video/Lecture_room/video_22,0,33.966,37.98681,7,5
le2i/video/Coffee_room_01/video_3,8,4.883,5.80006,1,1
mcfd/video/chute21/cam6,2,31.614,36.59097,1,6
mcfd/video/chute21/cam5,3,18.682,21.39,1,5
mcfd/video/chute05/cam4,7,15.080666666666668,21.003476666666664,1,4
occu/video/yangyi/view1/rgb/yangyi_view1_rgb,9,103.74,133.34,3,1
occu/video/zhangbo/view1/rgb/zhangbo_view1_rgb,1,81.68,83.4,4,1
occu/video/yangyi/view2/rgb/yangyi_view2_rgb,1,96.46,97.62,3,2
OOPS/video/falls/29BestWorkFailNominees-FailArmyHallofFameAugust201713,1,2.933,4.633,-1,-1
OOPS/video/falls/Ouchie-DangThatHurtMay2018_FailArmy39,1,3.5,4.333,-1,-1
OOPS/video/falls/FailsYouMissed-NottheBeesApril2018_Failarmy83,1,9.417,10.208,-1,-1
up_fall/video/Subject4/Activity1/Trial1/Subject4Activity1Trial1Camera1,1,1.105108,3.11181,4,1
up_fall/video/Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera1,8,0.0,0.373498,2,1
up_fall/video/Subject3/Activity4/Trial2/Subject3Activity4Trial2Camera1,8,0.0,1.053824,3,1
ur_fall/video/fall/11/fall-11-cam1-rgb,0,0.033,1.6,-1,1
ur_fall/video/fall/20/fall-20-cam0-rgb,7,0.033,0.567,-1,0
ur_fall/video/fall/18/fall-18-cam0-rgb,7,0.033,0.5,-1,0
